Date;ID;Title;Speaker Name;Thumbnail;Tags;Views;Likes;Dislikes;Favourite Count;Comment Count;Published on
2019-04-20;Uhg75v5_Xu8;What fruit flies can teach us about muscle disease;Maria Spletter;https://i.ytimg.com/vi/Uhg75v5_Xu8/mqdefault.jpg;TEDxTalks,English,Science (hard),Animals,Disease,Genetics,Research,Science;595;18;0;0;2;2019-01-17T17:56:06.000Z
2019-04-20;-NhZ4ioHb9E;Loss of a Species – A Giant, Extinct;Thomas Hildebrandt;https://i.ytimg.com/vi/-NhZ4ioHb9E/mqdefault.jpg;TEDxTalks,English,Global Issues,Activism,Animals,Future,Medicine,Nature;1035;19;0;0;0;2018-02-21T21:53:10.000Z
2019-04-20;76pnQkP-xG4;A vision of the responsive city of the future;Gerhard Schmitt;https://i.ytimg.com/vi/76pnQkP-xG4/mqdefault.jpg;TEDxTalks,English,Germany,Technology,Big Data,Big problems,Cities,Communication,Design,Intelligence,Interface design,Internet,Policy,Politics,Public Policy,Urban Planning;5266;81;0;0;2;2017-02-10T17:11:17.000Z
2019-04-20;cCke5m76UFo;Why we need a human-scale energy system;Justus Schütze;https://i.ytimg.com/vi/cCke5m76UFo/mqdefault.jpg;TEDxTalks,English,Global Issues,Community,Energy,Global issues,History,Intelligence,Internet,Sharing,Smartphone,Technology;560;21;0;0;1;2019-01-17T17:56:06.000Z
2019-04-20;XnQHVXMhzBo;Opus Epicus;Mandara;https://i.ytimg.com/vi/XnQHVXMhzBo/mqdefault.jpg;TEDxTalks,English,Germany,Entertainment,Meditation,Music (performance);13739;200;4;0;13;2016-01-05T16:34:27.000Z
2019-04-20;myl722kHxbU;Feeling welcomed and empowered;Essraa Nawar;https://i.ytimg.com/vi/myl722kHxbU/mqdefault.jpg;TEDxTalks,English,Germany,Life,Change,Community,Culture,Empathy,Family,Human Rights,Morality,Motivation,Religion,Self,Social Change,Social Interaction,Society;8068;139;3;0;15;2015-12-26T20:36:51.000Z
2019-04-20;Z2TQQhTx6EQ;What I do to live the life I want;Petra Dorfner;https://i.ytimg.com/vi/Z2TQQhTx6EQ/mqdefault.jpg;TEDxTalks,English,Germany,Life,Choice,Compassion,Connection,Consciousness,Death,Decision making,Family,Future,Goal-setting,Happiness,Health,Identity,Life Development,Life Hack,Mindfulness,Motivation,Passion,Personal growth,Relationships,Self,Self improvement,Self-help,Work;2148;36;0;0;3;2016-01-12T20:04:05.000Z
2019-04-20;ke4lI_1xCrU;Mega events and the developing world;James Mister;https://i.ytimg.com/vi/ke4lI_1xCrU/mqdefault.jpg;English,Germany,ted talk,Global Issues,Social Justice,Climate Change,tedx talk,ted talks,Urban Planning,tedx talks,TEDxTalks,Public Policy,Economics,Culture,International Affairs,ted,Politics,ted x,tedx,Development/Philanthropy,Sustainability;4176;20;4;0;2;2014-07-25T22:15:03.000Z
2019-04-20;g17OHKBm50I;Less queuing, more safety - the power of crowd simulations;Angelika Kneidl;https://i.ytimg.com/vi/g17OHKBm50I/mqdefault.jpg;TEDxTalks,English,Technology,Computers,Design,Future,Math;596;10;0;0;0;2018-02-21T21:48:18.000Z
2019-04-20;gnK7Lg56DjI;How patient innovation improves lives;Pedro Oliveira;https://i.ytimg.com/vi/gnK7Lg56DjI/mqdefault.jpg;TEDxTalks,English,Germany,Health,Activism,Big problems,Business,Change,Disability,Disease,Engineering,Entrepreneurship,Innovation,Internet,Medicine,Research,Social Entrepreneurship,Social Media,Technology;1890;24;0;0;0;2016-01-03T06:04:47.000Z
2019-04-20;IDixuVrDABY;How do we learn from failure?;Dean Shepherd;https://i.ytimg.com/vi/IDixuVrDABY/mqdefault.jpg;Business,Germany,ted x,ted,English,tedx,Career/Life Development,tedx talk,Psychology,ted talk,Performance,ted talks,tedx talks,TEDxTalks;18705;145;4;0;1;2014-07-23T18:55:18.000Z
2019-04-20;HCjBM23nQ0s;Robots that learn from us;Dongheui Lee;https://i.ytimg.com/vi/HCjBM23nQ0s/mqdefault.jpg;TEDxTalks,English,Germany,Technology,AI,Cognitive science,Computers,Creation,Engineering,Future,Innovation,Intelligence,Product design,Productivity,Relationships,Research,Robots,Science;5620;75;2;0;2;2016-01-08T21:08:32.000Z
2019-04-20;62aI5Oy4S4g;The Glue That Holds Society Together;Jürgen Gradl;https://i.ytimg.com/vi/62aI5Oy4S4g/mqdefault.jpg;TEDxTalks,English,Global Issues,Activism,Career,Community,Social Change,Social Justice,Society;1384;29;1;0;4;2018-02-21T21:48:51.000Z
2019-04-20;LVM1KOl-kDw;Using tiny magnets for computation;Markus Becherer;https://i.ytimg.com/vi/LVM1KOl-kDw/mqdefault.jpg;TEDxTalks,English,Technology,Computers,Electricity,Energy,Future,Materials,Nanoscale,Science;879;33;0;0;2;2018-09-08T15:30:01.000Z
2019-04-20;CFHvNNcEIDo;Contemporary & Jazz Dance;Alina Groder & Sungsit Saiynart;https://i.ytimg.com/vi/CFHvNNcEIDo/mqdefault.jpg;TEDxTalks,English,Germany,Entertainment,Dance (performance);860;10;2;0;0;2017-02-14T15:28:52.000Z
2019-04-20;twHCsVPupXo;Cultural Fashion: Transform the Fashion Industry From Villain to Hero;Monica Boța-Moisin;https://i.ytimg.com/vi/twHCsVPupXo/mqdefault.jpg;TEDxTalks,English,Global Issues,Activism,Art,Community,Culture,Fashion,Law;3359;105;8;0;6;2018-02-21T21:55:05.000Z
2019-04-20;GC8V3-pvLZ4;Are we victims of our senses?;Ilona Grunwald Kadow;https://i.ytimg.com/vi/GC8V3-pvLZ4/mqdefault.jpg;TEDxTalks,English,Science (hard),Animals,Behavior,Brain,Neurology,Neuroscience,Research,Science,Senses;670;18;0;0;2;2019-01-17T17:56:06.000Z
2019-04-20;5U6Cc1hmdY0;A question of survival: Why we hunted the Higgs;Steven Goldfarb;https://i.ytimg.com/vi/5U6Cc1hmdY0/mqdefault.jpg;TEDxTalks,English,Germany,Science (hard),Big problems,Curiosity,Engineering,Evolution,Invention,Physics,Science,Society,Technology;4427;59;3;0;2;2015-12-18T15:51:53.000Z
2019-04-20;w-QoDqBMe2k;Medical Augmented Reality: coming soon to (operating) theaters near you;Nassir Navab;https://i.ytimg.com/vi/w-QoDqBMe2k/mqdefault.jpg;TEDxTalks,English,Germany,Technology,3D Technology,Anthropology,Body,Computers,Digital,Health,Heart health,Intelligence,Interface design,Medicine,Progress;7167;88;3;0;1;2017-02-10T19:55:43.000Z
2019-04-20;YTKgizpzmtQ;There can be no human 2.0 without a humanity 2.0;Philipp Reisinger;https://i.ytimg.com/vi/YTKgizpzmtQ/mqdefault.jpg;Humanities,ted,Social Justice,Sociology,Medicine,ted talk,tedx talks,tedx talk,Religion/Spirituality,Culture,ted talks,Biomedical Engineering,ted x,tedx,German,TEDxTalks,Germany;2547;17;4;0;1;2014-07-23T18:55:49.000Z
2019-04-20;1E-QkFUAt5A;Molecular machines of the future;Hendrik Dietz;https://i.ytimg.com/vi/1E-QkFUAt5A/mqdefault.jpg;TEDxTalks,English,Science (hard),Biology,Chemistry,Drugs,Health,Medicine,Nanoscale,Origami,Physics,Science;1354;41;0;0;3;2018-09-08T15:30:00.000Z
