Date;ID;Comment Count;Dislikes;Favourite Count;Likes;Published on;Tags;Thumbnail;Title;Views
2018-10-20;iaemojsQDFw;1;1;0;25;2018-02-21T21:54:07.000Z;TEDxTalks,English,Life,Cancer,Communication,Community,Death,Education,Family,Humor,Science;https://i.ytimg.com/vi/iaemojsQDFw/mqdefault.jpg;Laugh, Think, Cry, Laugh Again | Jessamyn Fairfield | TEDxTUM;885
2018-10-20;YPMD7iNZT24;0;0;0;6;2016-07-17T10:53:38.000Z;TED Talks,TEDx,Technische Universität München,TUM,München,Indiana Jones,Deutsches Museum;https://i.ytimg.com/vi/YPMD7iNZT24/mqdefault.jpg;finding eXploration | TEDxTUM;248
2018-10-20;mxbfx7YXBIo;0;0;0;9;2018-02-22T09:05:14.000Z;tedx,tedxtum,comedy,performance,improv,ukulele;https://i.ytimg.com/vi/mxbfx7YXBIo/mqdefault.jpg;TEDxTUM 2017 Ending | Jessamyn Fairfield's comedy summary of the talks;254
2018-10-20;fkxl1hSmb28;0;0;0;19;2016-04-24T08:22:28.000Z;ted,tedx,funny,comedy,sketch,tum,technische universität münchen,technical university munich,tedxtum,commercial,advertisement;https://i.ytimg.com/vi/fkxl1hSmb28/mqdefault.jpg;The Speaker | TEDxTUM 2016;993
2018-10-20;mxbfx7YXBIo;0;0;0;9;2018-02-22T09:05:14.000Z;tedx,tedxtum,comedy,performance,improv,ukulele;https://i.ytimg.com/vi/mxbfx7YXBIo/mqdefault.jpg;TEDxTUM 2017 Ending | Jessamyn Fairfield's comedy summary of the talks;254
2018-10-20;OiqnbYywGcI;1;0;0;13;2017-01-25T09:57:13.000Z;TEDx,TEDxTUM,TUM,Munich,ideasworthspreading;https://i.ytimg.com/vi/OiqnbYywGcI/mqdefault.jpg;TEDxTUM: ENTELECHY Impressions;1344
2018-10-20;LjQDLg_KuJg;0;1;0;0;2018-09-23T09:48:47.000Z;tedxtum,tedx,talks,experience,event;https://i.ytimg.com/vi/LjQDLg_KuJg/mqdefault.jpg;What you get from attending TEDxTUM;183
2018-10-20;IdRbCJzpIAM;0;0;0;0;2018-10-02T08:19:26.000Z;TED,TEDxTUM,Music,Orchestral;https://i.ytimg.com/vi/IdRbCJzpIAM/mqdefault.jpg;TEDxTUM: Conscious Reflection (Music only);4
2018-10-20;sRVxPE1cguo;4;1;0;70;2016-02-02T21:04:07.000Z;TEDxTalks,English,Germany,Art,Brand,Communication,Community,Cooperation,Creation,Creativity,Design,Entertainment,Happiness,Hope,Invention,Origami,Painting,Simplicity,Success;https://i.ytimg.com/vi/sRVxPE1cguo/mqdefault.jpg;Stick Up: The layers of tape art | Max Zorn and Audrey Sykes | TEDxTUM;6820
2018-10-20;sfgTmRiGWWE;0;0;0;1;2018-02-11T20:44:06.000Z;TEDx,TEDxTUM,TUM,Munich,Ideasworthspreading;https://i.ytimg.com/vi/sfgTmRiGWWE/mqdefault.jpg;TEDxTUM Re-Formations of Tomorrow Impressions;116
2018-10-20;3_ZXhYD9QJg;0;1;0;8;2015-12-01T16:39:38.000Z;TEDxTUM,TUM,TED,TEDx,FACETS,TEDxTUM2015,IdeasWorthSpreading,States,America,Munich,Muenchen;https://i.ytimg.com/vi/3_ZXhYD9QJg/mqdefault.jpg;Jenny Rankin Speed Lists all 50 US States | TEDxTUM;329
2018-10-20;d_eaG5QcA_U;0;0;0;6;2015-05-25T21:18:34.000Z;tedx,tu münchen,tum;https://i.ytimg.com/vi/d_eaG5QcA_U/mqdefault.jpg;Team Event | TEDxTUM 2015;165
2018-10-20;5U6Cc1hmdY0;2;3;0;56;2015-12-18T15:51:53.000Z;TEDxTalks,English,Germany,Science (hard),Big problems,Curiosity,Engineering,Evolution,Invention,Physics,Science,Society,Technology;https://i.ytimg.com/vi/5U6Cc1hmdY0/mqdefault.jpg;A question of survival: Why we hunted the Higgs | Steven Goldfarb | TEDxTUM;4186
2018-10-20;m-9z9M9dsq0;0;0;0;3;2018-02-22T09:05:14.000Z;tedx,tedxtum,music,performance,poetry,violin,bavarian music,bavaria;https://i.ytimg.com/vi/m-9z9M9dsq0/mqdefault.jpg;TEDxTUM 2017 Introduction - Re-Formations of Tomorrow;261
2018-10-20;YTKgizpzmtQ;1;3;0;13;2014-07-23T18:55:49.000Z;Humanities,ted,Social Justice,Sociology,Medicine,ted talk,tedx talks,tedx talk,Religion/Spirituality,Culture,ted talks,Biomedical Engineering,ted x,tedx,German,TEDxTalks,Germany;https://i.ytimg.com/vi/YTKgizpzmtQ/mqdefault.jpg;There can be no human 2.0 without a humanity 2.0 | Philipp Reisinger | TEDxTUM;2372
2018-10-20;TEQpfEb8vsE;0;0;0;4;2015-08-06T08:06:47.000Z;TEDxTUM,TEDx,TUM,Technical University Of Munich (College/University);https://i.ytimg.com/vi/TEQpfEb8vsE/mqdefault.jpg;TEDxTUM 2015 Organizing Team;510
2018-10-20;YPMD7iNZT24;0;0;0;6;2016-07-17T10:53:38.000Z;TED Talks,TEDx,Technische Universität München,TUM,München,Indiana Jones,Deutsches Museum;https://i.ytimg.com/vi/YPMD7iNZT24/mqdefault.jpg;finding eXploration | TEDxTUM;248
2018-10-20;68LGsvpn7vk;0;0;0;1;2018-01-17T23:18:07.000Z;ted,tedx,ideas,ted talks,public speaking;https://i.ytimg.com/vi/68LGsvpn7vk/mqdefault.jpg;Q&A Between Sessions | TEDxTUM 2017;109
2018-10-20;VxQ5R9-Jfm8;0;0;0;0;2018-01-24T20:39:47.000Z;Dokumentation,Doku,Dokumentarfilm,Reportage,TV,Phoenix,ZDF,ARD;https://i.ytimg.com/vi/VxQ5R9-Jfm8/mqdefault.jpg;The fascinating intelligence of birds | Auguste von Bayern | TEDxTUM;23
2018-10-20;q5Mc26ihCXc;0;0;0;2;2015-08-16T14:50:17.000Z;TED,TEDx,TEDxTUM,TUM,Technical University Of Munich (College/University),Ideas (Quotation Subject),ideasworthspreading;https://i.ytimg.com/vi/q5Mc26ihCXc/mqdefault.jpg;TEDxTUM 2015 - FACETS;399
2018-10-20;w-QoDqBMe2k;1;3;0;78;2017-02-10T19:55:43.000Z;TEDxTalks,English,Germany,Technology,3D Technology,Anthropology,Body,Computers,Digital,Health,Heart health,Intelligence,Interface design,Medicine,Progress;https://i.ytimg.com/vi/w-QoDqBMe2k/mqdefault.jpg;Medical Augmented Reality: coming soon to (operating) theaters near you | Nassir Navab | TEDxTUM;6238
2018-10-20;1E-QkFUAt5A;1;0;0;18;2018-09-08T15:30:00.000Z;TEDxTalks,English,Science (hard),Biology,Chemistry,Drugs,Health,Medicine,Nanoscale,Origami,Physics,Science;https://i.ytimg.com/vi/1E-QkFUAt5A/mqdefault.jpg;Molecular machines of the future | Hendrik Dietz | TEDxTUMSalon;598
