Date;Metric;Views;Likes;Dislikes;Favourite Count;Comment Count
2019-04-17;std;92843.0;2671.0;74.0;0.0;96.0
2019-04-17;min;326.0;3.0;0.0;0.0;0.0
2019-04-17;25%;1038.0;20.0;0.0;0.0;1.0
2019-04-17;50%;2538.0;36.0;2.0;0.0;2.0
2019-04-17;75%;8328.0;107.0;4.0;0.0;4.0
2019-04-17;max;461761.0;20116.0;470.0;0.0;722.0
2019-04-18;count;67.0;67.0;67.0;67.0;67.0
2019-04-18;mean;34130.0;689.0;23.0;0.0;27.0
2019-04-18;std;93612.0;2692.0;75.0;0.0;97.0
2019-04-18;min;326.0;3.0;0.0;0.0;0.0
2019-04-18;25%;1038.0;20.0;0.0;0.0;1.0
2019-04-18;50%;2533.0;36.0;1.0;0.0;2.0
2019-04-18;75%;8188.0;100.0;4.0;0.0;4.0
2019-04-18;max;462609.0;20123.0;472.0;0.0;722.0
2019-04-19;count;68.0;68.0;68.0;68.0;68.0
2019-04-19;mean;33674.0;679.0;23.0;0.0;27.0
2019-04-19;std;93100.0;2674.0;74.0;0.0;96.0
2019-04-19;min;326.0;3.0;0.0;0.0;0.0
2019-04-19;25%;1035.0;20.0;0.0;0.0;1.0
2019-04-19;50%;2458.0;35.0;1.0;0.0;2.0
2019-04-19;75%;8133.0;98.0;4.0;0.0;4.0
2019-04-19;max;463578.0;20129.0;472.0;0.0;722.0
2019-04-20;count;67.0;67.0;67.0;67.0;67.0
2019-04-20;mean;34197.0;690.0;23.0;0.0;27.0
2019-04-20;std;93819.0;2695.0;75.0;0.0;97.0
2019-04-20;min;326.0;3.0;0.0;0.0;0.0
2019-04-20;25%;1050.0;20.0;0.0;0.0;1.0
2019-04-20;50%;2534.0;36.0;1.0;0.0;2.0
2019-04-20;75%;8204.0;100.0;4.0;0.0;4.0
2019-04-20;max;464497.0;20135.0;472.0;0.0;722.0
2019-04-21;count;67.0;67.0;67.0;67.0;67.0
2019-04-21;mean;34228.0;690.0;23.0;0.0;27.0
2019-04-21;std;93917.0;2697.0;75.0;0.0;97.0
2019-04-21;min;326.0;3.0;0.0;0.0;0.0
2019-04-21;25%;1054.0;20.0;0.0;0.0;1.0
2019-04-21;50%;2534.0;36.0;1.0;0.0;2.0
2019-04-21;75%;8208.0;100.0;4.0;0.0;4.0
2019-04-21;max;465352.0;20147.0;472.0;0.0;723.0
2019-04-22;count;67.0;67.0;67.0;67.0;67.0
2019-04-22;mean;34259.0;691.0;23.0;0.0;28.0
2019-04-22;std;94017.0;2698.0;75.0;0.0;99.0
2019-04-22;min;326.0;3.0;0.0;0.0;0.0
2019-04-22;25%;1061.0;20.0;0.0;0.0;1.0
2019-04-22;50%;2534.0;36.0;1.0;0.0;2.0
2019-04-22;75%;8212.0;100.0;4.0;0.0;4.0
2019-04-22;max;466275.0;20153.0;473.0;0.0;722.0
